timestamp,signal_dBm,SSID,BSSID,frequency,bitrate
2025-10-03T21:57:32.791962,-41,NETGEAR31-5G,,"Channel 153,80",866 Mbps
2025-10-03T21:57:34.348914,-45,NETGEAR31-5G,,"Channel 153,80",866 Mbps
2025-10-03T21:57:34.774057,-43,NETGEAR31-5G,,"Channel 153,80",866 Mbps
2025-10-03T21:57:35.996099,-44,NETGEAR31-5G,,"Channel 153,80",866 Mbps
2025-10-03T21:57:36.930773,-41,NETGEAR31-5G,,"Channel 153,80",866 Mbps
2025-10-03T21:57:39.550568,-40,NETGEAR31-5G,,"Channel 153,80",650 Mbps
2025-10-03T21:57:40.614888,-41,NETGEAR31-5G,,"Channel 153,80",650 Mbps
2025-10-03T21:57:42.166199,-42,NETGEAR31-5G,,"Channel 153,80",650 Mbps
2025-10-03T21:57:42.944329,-42,NETGEAR31-5G,,"Channel 153,80",650 Mbps
2025-10-03T21:57:44.143601,-42,NETGEAR31-5G,,"Channel 153,80",650 Mbps
2025-10-03T21:57:47.820814,-42,NETGEAR31-5G,,"Channel 153,80",780 Mbps
2025-10-03T21:57:58.134192,-51,NETGEAR31-5G,,"Channel 153,80",585 Mbps
2025-10-03T21:58:08.502792,-47,NETGEAR31-5G,,"Channel 153,80",526 Mbps
2025-10-03T21:58:18.949018,-48,NETGEAR31-5G,,"Channel 153,80",526 Mbps
2025-10-03T21:58:25.890657,-49,NETGEAR31-5G,,"Channel 153,80",433 Mbps
2025-10-03T21:58:36.202966,-49,NETGEAR31-5G,,"Channel 153,80",433 Mbps
2025-10-03T21:58:46.531935,-51,NETGEAR31-5G,,"Channel 153,80",433 Mbps
2025-10-03T21:58:57.068993,-51,NETGEAR31-5G,,"Channel 153,80",433 Mbps
